iter	Passed	Remaining
0	0	93
1	1	88
2	2	82
3	3	76
4	3	74
5	4	73
6	5	72
7	6	70
8	6	69
9	7	67
10	8	66
11	8	65
12	9	64
13	10	63
14	11	62
15	11	61
16	12	60
17	13	60
18	13	59
19	14	58
20	15	57
21	16	57
22	16	56
23	17	55
24	18	55
25	19	54
26	19	53
27	20	52
28	21	51
29	22	51
30	22	50
31	23	49
32	24	49
33	24	48
34	25	47
35	26	46
36	27	46
37	27	45
38	28	44
39	29	44
40	30	43
41	30	41
42	31	41
43	31	40
44	32	39
45	33	39
46	34	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	33
53	38	33
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	43	28
60	43	27
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	48	23
67	48	22
68	49	22
69	50	21
70	50	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	58	13
81	58	12
82	59	12
83	60	11
84	60	10
85	61	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	65	5
92	66	5
93	67	4
94	67	3
95	68	2
96	69	2
97	69	1
98	70	0
99	71	0
